,umato_srho_0,pca_tnc_25,tsne_pr_0,umato_tnc_25,isomap_tnc_25,lle_pr_0,isomap_pr_0,tsne_tnc_25,umap_pr_0,umap_tnc_25,pca_pr_0,lle_tnc_25,umato_pr_0
cifar10,0.7270377634454681,0.8762167562715071,0.813251462299288,0.8667655946414581,0.8759068148056011,0.7851915620195881,0.8237226567658891,0.8942752675049521,0.737114190268906,0.8786251970382071,0.8261990582243031,0.8699511276782971,0.723924926893685
pima_indians_diabetes_database,0.8416366160034591,0.9557811899367781,0.7491614380617131,0.9729084427588731,0.9742158402170291,0.799024499744963,0.9936678687703281,0.9893892309972491,0.7544567807348651,0.9858338051134911,0.993593184149106,0.9593501202256821,0.8928297257873771
sentiment_labeld_sentences,0.14799049815528,0.705212996593905,0.40632911134909505,0.68860866798159,0.674421250904774,0.34060462563031,0.291770139453263,0.7891763606793161,0.297577085924535,0.7302246865884711,0.14642836947916502,0.673170137121552,0.279428865048064
magic_gamma_telescope,0.8890192435133991,0.9463245514257461,0.699356416236912,0.95509523878318,0.951309886375132,0.9115323620348711,0.9351728299320011,0.9764659835719721,0.677966373439957,0.9706735337119531,0.9287573997788091,0.9277855483944301,0.863809040509619
iris,0.917779756840412,0.9939548053161321,0.9936290102472841,0.968584097049175,0.994232807530346,0.790205365751933,0.9984014969834791,0.993730207220027,0.9547664102036101,0.9877030643192931,0.9983848072075481,0.9862362348325441,0.9432106771898241
orbit_classification_for_prediction_nasa,0.821383840849339,0.9165307660039941,0.733055534877874,0.9556430681396341,0.917136204890127,0.8294920447340061,0.815285967334017,0.9812970366223531,0.777022702085539,0.9805905732479681,0.8173454820693891,0.9220557820949571,0.8279961556725941
ecoli,0.871616112261384,0.9518869068599751,0.9444200626271531,0.955378239659287,0.959047659320104,0.8928633614562811,0.9352718930466171,0.9767892789688141,0.840881363532728,0.965172292313178,0.908801335562567,0.9539884034681101,0.8430589247085281
boston,0.6749084392847681,0.9997682483291651,0.981360370969461,0.9030390561996781,0.9997704870781741,0.8410390898212311,0.9999420402160171,0.99789720640915,0.9303583012080361,0.995628198547401,0.9999456687494721,0.9897768800305451,0.828551708019004
banknote_authentication,0.9369634072859561,0.976379044545825,0.9230634318217551,0.9856689508167921,0.9915998937969491,0.8367800631550361,0.986281147499076,0.997571529892974,0.829977174980139,0.9977135944453691,0.987772301733795,0.9824338575636731,0.926793378331564
blood_transfusion_service_center,0.7829666029263691,0.99895091136027,0.663436654066881,0.99201353062853,0.9989881662988501,0.8783498061062651,0.9999956165386271,0.9985634656761541,0.31314371525997803,0.991054992883981,0.9999996829689641,0.9918155881158061,0.68827539944779
image_segmentation,0.855290693891891,0.869780072177425,0.9292872822200741,0.9413500418086671,0.9093514263552731,0.762551040258668,0.9572784596821381,0.972420617704957,0.425316491133964,0.9573717766048151,0.9494589668253821,0.949354053819867,0.8036743660267771
predicting_pulsar_star,0.9113147795635,0.9938650317377321,0.7942894228975761,0.994821859159945,0.9984707185289491,0.857625321678765,0.994120056143118,0.997658272887983,0.7884023944630221,0.997249106179892,0.996368147018806,0.9905743225072121,0.914634566857439
pistachio,0.972603859844093,0.9999850101805471,0.928623335169733,0.960420696029429,0.99998522425081,0.736054792428237,0.9999989170663051,0.999239576623254,0.8859229200924691,0.998983157838041,0.9999996001151671,0.988913086420746,0.9705287428396181
water_quality,0.9834939643733641,0.9999606624958051,0.9171387017176281,0.998151925591469,0.9997625154849931,0.9136338652296551,0.9999989726086811,0.999707323590144,0.7452211825230111,0.999580925603296,0.999999880720369,0.999676298710307,0.977348226230569
skillcraft1_master_table_dataset,0.871380680342391,0.998166268604568,0.042222582266281006,0.990265827771133,0.9974399733563201,0.39667152587347304,0.999999965948363,0.9974512555076931,0.640990364437038,0.995611847216968,0.9999999917672041,0.990385197291029,0.7718360270130351
yeast,0.7829281425736141,0.881204410393793,0.7608341403633361,0.916404788005667,0.888270272217322,0.833224833505933,0.7951621407601901,0.949616815472721,0.7414395748155701,0.9444181730570671,0.751372138771034,0.8812480642760131,0.8013582574718071
seismic_bumps,0.873331144001083,0.9671469403383061,0.909430841369057,0.9672948075469191,0.9784895505975301,0.735221524251735,0.8680411806961481,0.9880998971856011,0.6347497827054941,0.9772681632189351,0.8551152298829411,0.972402930356926,0.892469259163002
insurance_company_benchmark,0.926906076611391,0.9359105316267051,0.9232693768597451,0.9376067022423351,0.9217523145525671,0.7855326226098951,0.9521186462280181,0.9556858869936181,0.9388194565279341,0.951456596345413,0.96725632867538,0.922808538021152,0.9292085794934991
