dataset,dc_5,nc_3,nc_5,nc_10,nc_25,nc_30,nc_50,nc_75
ecoli,0.41330429885367304,0.35689127278842203,0.52741042249599,0.78013896613079,0.78013896613079,0.78013896613079,0.817696858534618,0.8407666169657511
boston,0.748790638814759,0.5663273779460031,0.7490019975530381,0.9255929872149201,0.9255929872149201,0.9255929872149201,0.9391855237616811,0.940098693730643
banknote_authentication,0.547030386093743,0.52036571995261,0.6848197993482721,0.8744785132043751,0.8744785132043751,0.8744785132043751,0.8937619701340721,0.9043358667358191
blood_transfusion_service_center,1.191299394198746,0.5564569786988981,0.669053785974832,0.8730832691905961,0.8730832691905961,0.8730832691905961,0.906714256455674,0.9197269247714711
image_segmentation,0.82145111254958,0.48220165744490606,0.663706778418927,0.8689967579391841,0.8689967579391841,0.8689967579391841,0.881196048667461,0.8821122554745141
predicting_pulsar_star,0.8532687259878441,0.39616916826656,0.5821047453199261,0.840929679307109,0.8412790215358911,0.843156167325224,0.8767979429431121,0.8892966520005101
pistachio,0.7301304128803671,0.0,0.670378848400197,0.8924938504944511,0.89339482376802,0.89280252631137,0.9130649359042411,0.9171185001391051
water_quality,0.7752426947702481,0.426563931611918,0.61989239485157,0.893731545737762,0.8932792045680281,0.8935613440654411,0.94041556478523,0.954296832159171
skillcraft1_master_table_dataset,20.390836854530782,0.36429467074077104,0.549084773843314,0.814892413621334,0.8108396221088171,0.81246695388106,0.8576353182991341,0.882098526901941
yeast,0.45163527288383704,0.0,0.448502340805829,0.72249872247642,0.72249872247642,0.72249872247642,0.7607659574128921,0.7740338491469111
seismic_bumps,0.37941244429256404,0.0,0.6557538481364911,0.81861886509365,0.81861886509365,0.81861886509365,0.8291810051558821,0.847042279163971
insurance_company_benchmark,0.36967196178343503,0.43265072144452904,0.513866008940134,0.606725508393478,0.6112445726958861,0.607286264092144,0.630577501815994,0.646715647819991
